AAA007-N19	Gen1
AAA288-D22	Gen2
AAA799-D07	Gen3
AAA799-O18	Gen4
Acidianus_hospitalis_W1	Gen5
Aciduliprofundum_boonei_T469	Gen6
Aigarchaeota_archaeon_JGI_0000106_J15	Gen7
Aigarchaeota_archaeon_JGI_MDM2_JNZ_1_K18	Gen8
Aigarchaeota_archaeon_NZ13_MG1	Gen9
Aigarchaeota_archaeon_strain_OS1	Gen10
Archaeoglobus_veneficus_SNP6	Gen11
Caldivirga_maquilingensis_IC_167	Gen12
Candidatus_Caldiarchaeum_subterraneum	Gen13
Candidatus_Korarchaeum_cryptofilum_OPF8	Gen14
Candidatus_Nitrosoarchaeum_koreensis_MY1	Gen15
Candidatus_Nitrosocaldus_cavascurensis_strain_SCU2	Gen16
Candidatus_Nitrosocaldus_islandicus_isolate_3F	Gen17
Candidatus_Nitrosocosmicus_franklandus_C13	Gen18
Candidatus_Nitrosocosmicus_oleophilus_strain	Gen19
Candidatus_Nitrosopelagicus_brevis_isolate_MTA6	Gen20
Candidatus_Nitrosopelagicus_brevis_strain	Gen21
Candidatus_Nitrosopelagicus_sp_Isolate_GoM	Gen22
Candidatus_Nitrosopumilus_salaria_BD31	Gen23
Candidatus_Nitrosopumilus_sp_MTA1	Gen24
Candidatus_Nitrososphaera_evergladensis_SR1	Gen25
Cenarchaeum_symbiosum_A	Gen26
EGM_Bin1	Gen27
EGM_Bin2	Gen28
F	Gen29
Ferroplasma_acidarmanus_fer1	Gen30
HM45_Bin1	Gen31
HM45_Bin2	Gen32
HM58_Bin	Gen33
HM79_Bin	Gen34
HM81_Bin1	Gen35
HM81_Bin2	Gen36
HM82_Bin1	Gen37
HM82_Bin2	Gen38
Haladaptatus_paucihalophilus_DX253	Gen39
Halogeometricum_borinquense_DSM_11551	Gen40
Halorhabdus_utahensis_DSM_12940	Gen41
Halorubrum_lacusprofundi_ATCC_49239	Gen42
Marine_Group_1_crenarchaeote_sp_SCGC	Gen43
Marine_Group_1_thaumarchaeote_sp_SCGC_AAA288_P02	Gen44
Metallosphaera_sedula_DSM_5348	Gen45
Metallosphaera_yellowstonensis_MK1	Gen46
Methanocella_arvoryzae_MRE50	Gen47
Methanocorpusculum_labreanum_Z	Gen48
Methanopyrus_kandleri_AV19	Gen49
Methanosarcina_mazei_Go1	Gen50
Methanothermus_fervidus_DSM_2088	Gen51
Methanotorris_igneus_Kol_5	Gen52
Natrialba_magadii_ATCC_43099	Gen53
Natronomonas_pharaonis_DSM_2160	Gen54
Nitrosarchaeum_koreense_MY1	Gen55
Nitrosarchaeum_limnium_BG20	Gen56
Nitrosarchaeum_limnium_SFB1	Gen57
Nitrosoarchaeum-Baikal-G1-C1	Gen58
Nitrosoarchaeum_sp_BD3	Gen59
Nitrosocosmicus_hydrocola_strain_G61	Gen60
Nitrosocosmicus_oleophilus_strain_MY3	Gen61
Nitrosomarinus_catalina_strain_SPOT01	Gen62
Nitrosopelagicus_brevis_U25	Gen63
Nitrosopelagicus_brevis_strain_CN25	Gen64
Nitrosopelagicus_sp_REDSEA-S31_B2	Gen65
Nitrosopumilales_archaeon_strain_NPMR_NP_delta_1	Gen66
Nitrosopumilales_archaeon_strain_NPMR_NP_delta_2	Gen67
Nitrosopumilales_archaeon_strain_NPMR_NP_delta_3	Gen68
Nitrosopumilales_archaeon_strain_NPMR_NP_iota_1	Gen69
Nitrosopumilales_archaeon_strain_NPMR_NP_theta_1	Gen70
Nitrosopumilales_archaeon_strain_NPMR_NP_theta_2	Gen71
Nitrosopumilales_archaeon_strain_NPMR_NP_theta_3	Gen72
Nitrosopumilales_archaeon_strain_NPMR_NP_theta_4	Gen73
Nitrosopumilales_archaeon_strain_NPMR_NP_theta_5	Gen74
Nitrosopumilus_adriaticus_strain_NF5	Gen75
Nitrosopumilus_koreensis_AR1	Gen76
Nitrosopumilus_maritimus_SCM1	Gen77
Nitrosopumilus_salaria_BD31	Gen78
Nitrosopumilus_sediminis_AR2	Gen79
Nitrosopumilus_sp_D3C	Gen80
Nitrosopumilus_sp_DDS1	Gen81
Nitrosopumilus_sp_Nsub	Gen82
Nitrososphaera_evergladensis_SR1	Gen83
Nitrososphaera_gargensis_Ga9	Gen84
Nitrososphaera_viennensis_EN76	Gen85
Nitrosotalea_bavarica_SbT1	Gen86
Nitrosotalea_devanaterra_Nd1	Gen87
Nitrosotalea_koreensis_CS	Gen88
Nitrosotalea_sinensis_Nd2	Gen89
Nitrosotalea_sp_CS_isolate_NCS1	Gen90
Nitrosotenuis_aquarius_strain_AQ6F	Gen91
Nitrosotenuis_chungbukensis_MY2	Gen92
Nitrosotenuis_cloacae_strain_SAT1	Gen93
Picrophilus_torridus_DSM_9790	Gen94
Pyrobaculum_aerophilum_str_IM2	Gen95
Pyrobaculum_arsenaticum_DSM_13514	Gen96
Pyrobaculum_calidifontis_JCM_11548__crenarchaeotes_2	Gen97
Pyrobaculum_islandicum_DSM_4184	Gen98
Pyrococcus_abyssi_GE5	Gen99
Pyrococcus_furiosus_DSM_3638_2	Gen100
Pyrococcus_horikoshii_OT3__euryarchaeotes_2	Gen101
Pyrococcus_yayanosii_CH1	Gen102
SB_01	Gen103
SB_02	Gen104
SMM_01	Gen105
Saccharolobus_solfataricus_P2	Gen106
Sulfolobus_acidocaldarius_DSM_639	Gen107
Sulfolobus_islandicus_L_D_8_5	Gen108
Sulfolobus_solfataricus_P2	Gen109
Sulfolobus_tokodaii_str_7	Gen110
Thaumarchaeota_archaeon_CSP1-1_XU09_C0001	Gen111
Thaumarchaeota_archaeon_N4	Gen112
Thaumarchaeota_archaeon_RBG_16_49_8	Gen113
Thaumarchaeota_archaeon_SCGC_AAA007-O23	Gen114
Thaumarchaeota_archaeon_UBA141	Gen115
Thaumarchaeota_archaeon_UBA160	Gen116
Thaumarchaeota_archaeon_UBA164	Gen117
Thaumarchaeota_archaeon_UBA183	Gen118
Thaumarchaeota_archaeon_UBA57	Gen119
Thaumarchaeota_archaeon_isolate_MTA5	Gen120
Thaumarchaeota_archaeon_strain_BS3	Gen121
Thaumarchaeota_archaeon_strain_BS4	Gen122
Thaumarchaeota_archaeon_strain_DS1	Gen123
Thaumarchaeota_bin_Fn1	Gen124
Thermococcus_barophilus_MP	Gen125
Thermococcus_gammatolerans_EJ3	Gen126
Thermococcus_litoralis_DSM_5473	Gen127
Thermofilum_pendens_Hrk_5	Gen128
Thermoplasma_acidophilum_DSM_1728	Gen129
Thermoplasma_volcanium_GSS1	Gen130
Thermoproteus_tenax_Kra_1	Gen131
Unclassified_Aigarchaeota_JZ_bin_40	Gen132
Unclassified_Thaumarchaeota_DRTY_7_bin_36	Gen133
Vulcanisaeta_distributa_DSM_14429	Gen134
XS83_01	Gen135
XS83_02	Gen136
XS84_01	Gen137
XS84_02	Gen138
XS84_03	Gen139
XS87_01	Gen140
XS87_02	Gen141
YK1309_1N_NP_iota	Gen142
YK1312_12N_NP_theta	Gen143
